metric,view,first_measured,last_measured,days_present,pct_of_snapshots,comparable_from,comparability_note
change.stalled_30d.excluded,change,2026-08-26,2026-08-27,2,4.3,2026-08-26,"Not comparable on 2026-06-02 (different population). A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Open worked quotes only — the untriaged request backlog is not included. Records with no contact date and older than 30 days are left out, not assumed healthy."
change.stalled_30d.population,change,2026-08-26,2026-08-27,2,4.3,2026-08-26,"Not comparable on 2026-06-02 (different population). A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Open worked quotes only — the untriaged request backlog is not included. Records with no contact date and older than 30 days are left out, not assumed healthy."
change.value_filled.den,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,
change.value_filled.num,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,
change.value_filled.pct,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,
change.value_filled.unverified,change,2026-06-02,2026-06-02,1,2.2,2026-06-02,
executive.closed_novo.lost,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.closed_novo.won,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.pipeline_leads.count,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.pipeline_value.count,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.pipeline_value.leads,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.pipeline_value.valued,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.raw_backlog.count,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.raw_backlog.novo_uncounted,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.raw_backlog.pct_over_30,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.tier_a_value.count,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
executive.tier_a_value.leads,executive,2026-08-17,2026-08-27,11,23.9,2026-08-17,No comparability guard declared for this metric — which is not the same as verified comparable.
operational.alert_flagged.count,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,"Alert engine not built yet. The segment field it depends on is now live on Novo, so this is no longer blocked on data."
operational.enviados_open.count,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,No comparability guard declared for this metric — which is not the same as verified comparable.
operational.enviados_open.stale_pct,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,No comparability guard declared for this metric — which is not the same as verified comparable.
operational.missing_values.count,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,"""Fix first"" — without a value they cannot be segmented A/B/C."
operational.missing_values.den,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,"""Fix first"" — without a value they cannot be segmented A/B/C."
operational.retificado_stalled_7d.count,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,"Activity measured by Último contacto — a real contact event, live since the 14 Aug cutover."
operational.retificado_stalled_7d.eur,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,"Activity measured by Último contacto — a real contact event, live since the 14 Aug cutover."
operational.retificado_value.count,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,No comparability guard declared for this metric — which is not the same as verified comparable.
operational.retificado_value.leads,operational,2026-07-13,2026-08-27,41,89.1,2026-07-13,No comparability guard declared for this metric — which is not the same as verified comparable.
operational.sla_48h.at_stage,operational,2026-08-17,2026-08-27,11,23.9,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Approximate. The SLA is time from measurement completed to revised quote sent; the board has no stage-entry timestamp, so completion is read from Data da medição and only where the measurement is marked Finalizado and not future-dated. Quotes failing that test are excluded from the count, not assumed compliant. Trend restarts 17 Aug 2026, the repoint."
operational.sla_48h.count,operational,2026-07-13,2026-08-27,41,89.1,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Approximate. The SLA is time from measurement completed to revised quote sent; the board has no stage-entry timestamp, so completion is read from Data da medição and only where the measurement is marked Finalizado and not future-dated. Quotes failing that test are excluded from the count, not assumed compliant. Trend restarts 17 Aug 2026, the repoint."
operational.sla_48h.den,operational,2026-07-13,2026-08-27,41,89.1,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Approximate. The SLA is time from measurement completed to revised quote sent; the board has no stage-entry timestamp, so completion is read from Data da medição and only where the measurement is marked Finalizado and not future-dated. Quotes failing that test are excluded from the count, not assumed compliant. Trend restarts 17 Aug 2026, the repoint."
operational.sla_48h.excluded,operational,2026-08-17,2026-08-27,11,23.9,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Approximate. The SLA is time from measurement completed to revised quote sent; the board has no stage-entry timestamp, so completion is read from Data da medição and only where the measurement is marked Finalizado and not future-dated. Quotes failing that test are excluded from the count, not assumed compliant. Trend restarts 17 Aug 2026, the repoint."
