date,metric,dq_id,note
2026-07-10,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-10,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-11,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-11,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-11,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-11,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-11,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-11,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-12,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-12,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-12,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-12,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-12,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-12,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-13,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-13,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-13,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-13,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-13,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-13,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-13,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-13,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-14,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-14,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-14,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-14,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-14,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-14,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-14,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-14,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-15,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-15,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-15,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-15,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-15,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-15,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-15,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-15,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-16,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-16,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-16,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-16,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-16,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-16,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-16,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-16,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-17,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-17,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-17,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-17,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-17,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-17,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-17,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-17,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-18,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-18,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-18,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-18,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-18,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-18,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-18,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-18,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-19,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-19,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-19,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-19,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-19,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-19,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-19,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-19,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-20,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-20,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-20,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-20,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-20,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-20,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-20,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-20,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-21,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-21,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-21,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-21,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-21,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-21,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-21,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-21,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-22,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-22,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-22,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-22,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-22,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-22,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-22,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-22,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-26,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-26,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-26,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-26,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-26,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-26,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-26,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-26,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-27,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-27,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-27,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-27,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-27,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-27,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-27,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-27,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-28,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-28,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-28,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-28,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-28,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-28,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-28,operational.retificado_value.count,DQ-002,"Overstated: one rectified quote carried a data-entry error in the CRM that morning, corrected on the board the same evening. This cell reads ~3.4x the next day's figure and the gap is the error, not a movement. Do not chart or aggregate it — re-derive. See DQ-002 in the CRM Data Quality Register (private repo) for the record-level detail."
2026-07-28,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-28,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-29,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-29,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-29,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-29,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-29,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-29,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-29,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-29,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-30,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-30,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-30,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-30,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-30,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-30,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-30,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-30,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-02,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-02,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-02,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-02,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-02,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-02,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-02,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-02,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-03,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-03,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-03,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-03,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-03,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-03,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-03,operational.sla_48h.count,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-03,operational.sla_48h.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-04,change.followup_7d.den,DQ-S6,"Inflated by a manual CRM cleanup, not follow-up effort. The old definition counted any row edit, so a sweep of dead quotes reset the activity date on nearly every record. Peak 04-10 Aug (~99%); then a DECAYING residual 11-16 Aug (46 -> 25%) as swept records age out of the 7-day window. Ends 16 Aug because the metric repoints on the 17th. Not a peak to measure a later decline against."
2026-08-04,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-04,change.followup_7d.num,DQ-S6,"Inflated by a manual CRM cleanup, not follow-up effort. The old definition counted any row edit, so a sweep of dead quotes reset the activity date on nearly every record. Peak 04-10 Aug (~99%); then a DECAYING residual 11-16 Aug (46 -> 25%) as swept records age out of the 7-day window. Ends 16 Aug because the metric repoints on the 17th. Not a peak to measure a later decline against."
2026-08-04,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-04,change.followup_7d.pct,DQ-S6,"Inflated by a manual CRM cleanup, not follow-up effort. The old definition counted any row edit, so a sweep of dead quotes reset the activity date on nearly every record. Peak 04-10 Aug (~99%); then a DECAYING residual 11-16 Aug (46 -> 25%) as swept records age out of the 7-day window. Ends 16 Aug because the metric repoints on the 17th. Not a peak to measure a later decline against."
2026-08-04,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-08-04,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-04,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-04,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-08-04,change.stalled_30d.count,DQ-S6,"Depressed by the same manual cleanup: the sweep reset activity dates, so genuinely stalled records stopped counting as stalled. Runs to 16 Aug, not 10 Aug — a timestamp reset on 04 Aug is only 12 days old on the 16th, so no swept record can re-enter a >30-day count anywhere in this window. It ends on the 16th only because the metric repoints to a different column on the 17th."
